,brand,color,color_group,gearbox,drive,fuel_type,city,city_group,base_model,car_class,mileage,power_1,power_2,model_popularity,age,generation,is_new,is_restyling,is_pro,is_max,is_premium,price
0,Haval,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,H3,SUV,12 000,1.5,177,4,1.0,1,False,0,0,0,0,2320000.0
1,Chery,серый,Нейтральные,механика,передний,Бензин,Москва,Москва,Tiggo,Other,52 460,1.5,113,270,1.0,1,False,0,1,0,0,1490000.0
2,Haval,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,H3,SUV,6 308,1.5,177,4,1.0,1,False,0,0,0,0,2650000.0
3,Geely,синий,Холодные,робот,передний,Бензин,Балашиха,Московская область,Okavango,Other,17 169,2.0,200,7,2.0,1,False,1,0,0,0,2980000.0
4,Chery,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Tiggo,Other,22 000,1.5,147,270,3.0,1,False,1,0,0,0,1500000.0
5,Chery,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Tiggo,Other,52 178,1.5,147,270,3.0,1,False,1,0,0,0,1600000.0
6,Chery,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,5 900,2.0,197,270,2.0,1,False,0,1,1,0,2080000.0
7,Chery,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,Tiggo,Other,10 900,1.6,150,270,2.0,1,False,0,1,1,0,1750000.0
8,Haval,белый,Нейтральные,автомат,полный,Бензин,Москва,Москва,H9,SUV,4 500,2.0,218,10,1.0,2,False,0,0,0,0,3850000.0
9,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Atlas,SUV,1 071,2.0,200,132,2.0,2,False,0,0,0,0,2790000.0
10,Haval,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,F7x,Luxury SUV,76 997,2.0,190,6,4.0,1,False,0,0,0,0,1750000.0
11,Haval,белый,Нейтральные,робот,полный,Бензин,Москва,Москва,F7,Luxury SUV,140 000,2.0,190,21,3.0,1,False,1,0,0,0,2000000.0
12,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,48,2.0,238,319,0.0,1,False,1,0,0,1,3580000.0
13,Geely,белый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Atlas,SUV,21 554,2.0,200,132,1.0,2,False,0,0,0,0,2877000.0
14,Chery,серый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,11 174,1.5,113,270,2.0,1,False,0,1,0,0,1500000.0
15,Chery,чёрный,Нейтральные,вариатор,передний,Бензин,Ржавки,Города-спутники,Tiggo,Other,100 000,1.5,147,270,4.0,1,False,0,1,0,0,1109900.0
16,Chery,красный,Тёплые,робот,передний,Бензин,Москва,Москва,Tiggo,Other,78 000,1.5,147,270,5.0,1,False,1,0,0,0,1045000.0
17,Haval,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Jolion,Crossover,267 803,1.5,143,32,3.0,1,False,0,0,0,0,1699000.0
18,Haval,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,F7,Luxury SUV,4 297,2.0,192,21,1.0,2,False,0,0,0,0,2559000.0
19,Geely,серый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,33 700,2.0,238,319,2.0,1,False,0,0,0,1,3200000.0
20,Chery,зелёный,Холодные,автомат,полный,Бензин,Москва,Москва,Tiggo,Other,139 000,2.0,136,270,16.0,1,False,0,0,0,0,529000.0
21,Haval,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,F7x,Luxury SUV,53 000,2.0,190,6,4.0,1,False,0,0,0,0,2400000.0
22,Chery,серый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,36 118,1.5,147,270,3.0,1,False,0,1,0,0,1390000.0
23,Geely,чёрный,Нейтральные,автомат,полный,Бензин,Москва,Москва,Monjaro,Crossover,1,2.0,238,319,0.0,1,False,1,0,0,1,3588888.0
24,Chery,белый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,126 326,1.5,156,270,5.0,1,False,0,0,0,0,1535000.0
25,Haval,голубой,Холодные,робот,полный,Бензин,Москва,Москва,Jolion,Crossover,6 000,1.5,150,32,4.0,1,False,0,0,0,0,1750000.0
26,Chery,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,Tiggo,Other,8 400,1.6,150,270,1.0,1,False,0,1,1,0,1800000.0
27,Chery,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Tiggo,Other,3 800,1.6,150,270,1.0,1,False,1,1,1,0,1990000.0
28,Haval,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,H6 Coupe,SUV,113 000,2.0,190,2,7.0,1,False,0,0,0,0,1100000.0
29,Chery,белый,Нейтральные,автомат,передний,Гибрид,Москва,Москва,Tiggo,Other,16 200,1.5,235,270,2.0,1,False,0,1,0,0,2250000.0
30,Geely,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,Atlas,SUV,37 000,1.5,177,132,2.0,1,False,0,1,0,0,1850000.0
31,Haval,белый,Нейтральные,робот,полный,Бензин,Москва,Москва,F7,Luxury SUV,24 962,2.0,190,21,3.0,1,False,1,0,0,0,1650000.0
32,Haval,чёрный,Нейтральные,робот,передний,Бензин,Москва,Москва,H6 Coupe,SUV,113 000,2.0,190,2,7.0,1,False,0,0,0,0,1100000.0
33,Geely,серебристый,Нейтральные,автомат,передний,Бензин,Москва,Москва,Atlas,SUV,59 000,2.4,149,132,7.0,1,False,0,0,0,0,1150000.0
34,Chery,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Arrizo,Sedan,63 000,1.6,186,19,2.0,1,False,0,0,0,0,1980000.0
35,Haval,чёрный,Нейтральные,робот,полный,Бензин,Москва,Москва,Dargo,Crossover,1 000,2.0,192,5,2.0,1,False,0,0,0,0,2890000.0
36,Chery,белый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,56 538,1.5,113,270,2.0,1,False,0,1,0,0,940000.0
37,Geely,серый,Нейтральные,робот,полный,Бензин,Москва,Москва,Atlas,SUV,372,1.5,177,132,1.0,1,False,0,1,0,0,2500000.0
38,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Okavango,Other,3 663,2.0,200,7,2.0,1,False,1,0,0,0,2865000.0
39,Geely,белый,Нейтральные,робот,передний,Бензин,Москва,Москва,Preface,Sedan,9 685,1.5,181,21,1.0,1,False,1,0,0,0,2550000.0
40,Geely,серебристый,Нейтральные,автомат,полный,Бензин,Москва,Москва,Atlas,SUV,49 600,2.4,149,132,4.0,1,False,0,0,0,0,1550000.0
41,Haval,серый,Нейтральные,автомат,полный,Дизель,Москва,Москва,H9,SUV,897,2.4,184,10,1.0,2,False,0,0,0,0,4465000.0
42,Chery,белый,Нейтральные,вариатор,передний,Бензин,Москва,Москва,Tiggo,Other,38 000,1.5,147,270,1.0,1,False,0,1,1,0,1500000.0
43,Geely,серый,Нейтральные,робот,передний,Бензин,Москва,Москва,Cityray,Other,33,1.5,147,61,1.0,1,False,0,0,0,0,2500000.0
