Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена от, руб","Цена до, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2025,2 149 000 ,Not available,Active AWD,робот,полный,Бензин,Балашиха
Haval Jolion I Рестайлинг,Haval,Jolion I Рестайлинг,Новый,1.5,150,2025,1 820 000 ,Not available,Elite,робот,полный,Бензин,Химки
Haval H9 II,Haval,H9 II,Новый,2.4,184,2024,3 454 000 ,Not available,Elite,автомат,полный,Дизель,Москва
Chery Tiggo 9 I,Chery,Tiggo 9 I,Новый,2.0,249,2024,3 535 000 ,Not available,Ultra,автомат,полный,Бензин,Москва
Haval H3,Haval,H3,12 000,1.5,177,2024,2 320 000,2 320 000,серый,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Max I Рестайлинг,Chery,Tiggo 7 Pro Max I Рестайлинг,Новый,1.6,150,2024,1 900 000 ,Not available,Active,робот,передний,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.0,218,2024,3 527 280 ,Not available,Premium,автомат,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2024,2 644 100 ,Not available,Premium,робот,полный,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 374 000 ,Not available,Elite,робот,передний,Бензин,Москва
Geely Cityray,Geely,Cityray,Новый,1.5,147,2024,2 864 190 ,Not available,Flagship,робот,передний,Бензин,Москва
Haval H9 II,Haval,H9 II,Новый,2.4,184,2024,3 540 000 ,Not available,Elite,автомат,полный,Дизель,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2024,2 190 500 ,Not available,Elite,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,1.5,150,2025,2 341 700 ,Not available,Premium,робот,передний,Бензин,Москва
Haval F7 II,Haval,F7 II,Новый,2.0,192,2025,2 450 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Haval H7 I,Haval,H7 I,Новый,2.0,192,2025,3 462 000 ,Not available,Tech Plus,робот,полный,Бензин,Москва
Chery Tiggo 7 Pro Plug-in Hybrid,Chery,Tiggo 7 Pro Plug-in Hybrid,Новый,1.5,235,2023,4 000 000,4 000 000,Ultimate,автомат,передний,Гибрид,Москва
Chery Tiggo 4 I Рестайлинг 2,Chery,Tiggo 4 I Рестайлинг 2,Новый,1.5,147,2025,1 694 000 ,Not available,Prime,робот,передний,Бензин,Москва
